Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves
621,Text,1996-08-01,The Varieties of Religious Experience: A Study in Human Nature,en,"James, William, 1842-1910","Religion; Psychology, Religious; Philosophy and religion; Conversion; Experience (Religion)",BL,Category: Psychiatry/Psychology; Category: Philosophy & Ethics; Category: Religion/Spirituality
622,Text,1996-08-01,The Letters of Robert Louis Stevenson — Volume 1,en,"Stevenson, Robert Louis, 1850-1894","Stevenson, Robert Louis, 1850-1894 -- Correspondence; Authors, Scottish -- 19th century -- Correspondence",PR,"Category: Biographies; Category: Essays, Letters & Speeches; Category: British Literature"
623,Text,1996-08-01,"The Battle of the Books, and other Short Pieces",en,"Swift, Jonathan, 1667-1745; Morley, Henry, 1822-1894 [Editor]","English essays; Satire, English; Ancients and moderns, Quarrel of",PR,"Category: Humour; Category: Essays, Letters & Speeches; Category: British Literature"
624,Text,1996-08-01,"Looking Backward, 2000 to 1887",en,"Bellamy, Edward, 1850-1898","Science fiction; Utopias -- Fiction; Social problems -- Fiction; Time travel -- Fiction; Boston (Mass.) -- Fiction; Utopian fiction; Two thousand, A.D. -- Fiction",PS,Science Fiction; Category: Science-Fiction & Fantasy; Category: Novels; Category: American Literature
625,Text,2006-03-18,Ponkapog Papers,en,"Aldrich, Thomas Bailey, 1836-1907",Essays,PS,"Category: Humour; Category: Essays, Letters & Speeches"
626,Text,1996-08-01,The Love of Books: The Philobiblon of Richard de Bury,en,"Bury, Richard de, 1287-1345; Thomas, Ernest Chester, 1850-1892 [Translator]","Book collecting; Manuscripts, Medieval -- Collectors and collecting",Z,"Bibliomania; Category: Essays, Letters & Speeches; Category: History - Medieval/Middle Ages; Category: Philosophy & Ethics"
627,Text,1996-08-01,Essays of Travel,en,"Stevenson, Robert Louis, 1850-1894","Essays; Stevenson, Robert Louis, 1850-1894 -- Travel",PR,"Category: Essays, Letters & Speeches; Category: Travel Writing; Category: British Literature"
628,Dataset,1996-08-01,The square root of 3,en,"Nemiroff, Robert J.; Bonnell, Jerry T.",Mathematics; Square root,QA,Mathematics
629,Dataset,1996-08-01,The square root of 5,en,"Nemiroff, Robert J.; Bonnell, Jerry T.",Mathematics; Square root,QA,Mathematics
630,Dataset,1996-08-01,The square root of 6,en,"Nemiroff, Robert J.; Bonnell, Jerry T.",Mathematics; Square root,QA,Mathematics
631,Dataset,1996-08-01,The square root of 7,en,"Nemiroff, Robert J.; Bonnell, Jerry T.",Mathematics; Square root,QA,Mathematics
632,Dataset,1996-08-01,The square root of 8,en,"Bonnell, Jerry T.; Nemiroff, Robert J.",Mathematics,QA,Mathematics
633,Text,1996-08-01,"The Golden Mean or Ratio[(1+sqrt(5))/2]
To 20,000 places",en,,Mathematics; Mathematical constants; Golden section,QA,Category: Mathematics
634,Text,1996-08-01,Miscellaneous Mathematical Constants,en,"Plouffe, Simon, 1956- [Editor]",Mathematical constants,QA,Mathematics; Category: Mathematics; Category: Encyclopedias/Dictionaries/Reference
635,Dataset,1996-08-01,The square root of 10,en,"Nemiroff, Robert J.; Bonnell, Jerry T.",Mathematics; Square root,QA,Mathematics
636,Text,1996-08-01,Memoirs of Extraordinary Popular Delusions — Volume 1,en,"Mackay, Charles, 1814-1889",Social psychology; Swindlers and swindling; Impostors and imposture; Alchemy; Delusions; Occultism -- Early works to 1900; Investments -- Psychological aspects; Stock exchanges -- Psychological aspects; Hallucinations and illusions; Common fallacies,AZ,Psychology; Category: History - European; Category: History - Modern (1750+); Category: Economics
637,Text,1996-08-01,The Letters of Robert Louis Stevenson — Volume 2,en,"Stevenson, Robert Louis, 1850-1894","Stevenson, Robert Louis, 1850-1894 -- Correspondence; Authors, Scottish -- 19th century -- Correspondence",PR,"Category: Essays, Letters & Speeches; Category: British Literature"
638,Text,2006-01-09,An Outcast of the Islands,en,"Conrad, Joseph, 1857-1924","Psychological fiction; Clerks -- Fiction; Europeans -- Southeast Asia -- Fiction; Trading companies -- Fiction; Betrayal -- Fiction; Lingard, Tom (Fictitious character) -- Fiction; Southeast Asia -- Fiction",PR,Category: Novels; Category: British Literature
639,Text,1996-08-01,"The God-Idea of the Ancients; Or, Sex in Religion",en,"Gamble, Eliza Burt, 1841-1920",Religion; Women and religion; Sex -- Religious aspects,BL,Category: History - Religious; Category: Gender & Sexuality Studies; Category: Religion/Spirituality
640,Text,1996-08-01,The Yellow Fairy Book,en,"Lang, Andrew, 1844-1912",Fairy tales; Folklore,PZ,"Children's Literature; Category: Children & Young Adult Reading; Category: Mythology, Legends & Folklore"
641,Text,1996-09-01,The Violet Fairy Book,en,"Lang, Andrew, 1844-1912",Fairy tales; Folklore,PZ,"Children's Literature; Category: Children & Young Adult Reading; Category: Mythology, Legends & Folklore"
642,Text,1996-09-01,The Altar of the Dead,en,"James, Henry, 1843-1916",Death -- Fiction; Forgiveness -- Fiction; Memory -- Fiction,PS,Category: Novels; Category: British Literature
643,Text,1996-09-01,The Death of the Lion,en,"James, Henry, 1843-1916",Authors -- Fiction; Authorship -- Fiction; Manners and customs -- Fiction,PS,Category: Short Stories; Category: Novels; Category: British Literature
644,Text,1996-09-01,The Haunted Man and the Ghost's Bargain,en,"Dickens, Charles, 1812-1870",Christmas stories; Ghost stories,PR,Christmas; Category: Novels; Category: British Literature
645,Text,1996-09-01,The Figure in the Carpet,en,"James, Henry, 1843-1916","Short stories, American; Interpersonal relations -- Fiction; Women novelists -- Fiction; Critics -- Fiction; Secrecy -- Fiction",PS,Category: Novels; Category: British Literature
646,Text,1996-09-01,The Coral Island: A Tale of the Pacific Ocean,en,"Ballantyne, R. M. (Robert Michael), 1825-1894",Conduct of life -- Juvenile fiction; Shipwreck survival -- Juvenile fiction; Islands -- Juvenile fiction; Pirates -- Juvenile fiction; Camping -- Juvenile fiction; Natural history -- Juvenile fiction; Survival skills -- Juvenile fiction; Shipwrecks -- Juvenile fiction; Outdoor life -- Juvenile fiction; Oceania -- Juvenile fiction; Robinsonades,PZ,Children's Fiction; Category: Children & Young Adult Reading; Category: Adventure; Category: Novels; Category: British Literature
647,Text,1996-09-01,The Dynamiter,en,"Stevenson, Robert Louis, 1850-1894; Stevenson, Fanny Van de Grift, 1840-1914",Fiction; Short stories; Adventure stories; Mystery fiction,PR,"Category: Crime, Thrillers and Mystery; Category: Adventure; Category: Novels; Category: British Literature"
648,Text,1996-09-01,"Wild Wales: Its People, Language and Scenery",en,"Borrow, George, 1803-1881","Wales -- Description and travel; Borrow, George, 1803-1881 -- Travel -- Wales",DA,Category: Travel Writing
649,Text,1996-09-01,"Ancient Poems, Ballads, and Songs of the Peasantry of England",en,"Bell, Robert, 1800-1867 [Editor]; Dixon, James Henry, 1803-1876 [Contributor]","Songs, English -- England -- Texts; Ballads, English -- England -- Texts",PR,"Category: Poetry; Category: Mythology, Legends & Folklore; Category: British Literature"
650,Text,1996-09-01,Pictures from Italy,en,"Dickens, Charles, 1812-1870; Stone, Marcus, 1840-1921 [Illustrator]","Italy -- Description and travel; Novelists, English -- 19th century -- Biography; Dickens, Charles, 1812-1870 -- Travel -- Italy",DG,Category: Travel Writing; Category: British Literature
651,Text,1996-09-01,Phantasmagoria and Other Poems,en,"Carroll, Lewis, 1832-1898; Frost, A. B. (Arthur Burdett), 1851-1928 [Illustrator]","English poetry -- 19th century; Ghosts -- Poetry; Fantasy poetry, English",PR,Category: Poetry; Category: Humour; Category: British Literature
652,Text,1996-09-01,"Rasselas, Prince of Abyssinia",en,"Johnson, Samuel, 1709-1784",Satire; Princes -- Fiction; Happiness -- Fiction; Ethiopia -- Fiction,PR,Best Books Ever Listings; Category: Novels; Category: British Literature; Category: Philosophy & Ethics
653,Text,1996-09-01,"The Chimes
A Goblin Story of Some Bells That Rang an Old Year out and a New Year In",en,"Dickens, Charles, 1812-1870",Christmas stories; Holidays -- Fiction,PR,Category: Novels; Category: British Literature
